epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9099,1.68935,2.77591,1.24452,0.53595,0.43511,0.40991,0.2342,1.63681,1.90511,1.10671,0.00331667,0.00331667,0.07015
2,118.135,1.63079,1.62253,1.17179,0.49579,0.48617,0.43424,0.24895,1.57962,1.66926,1.10976,0.00632082,0.00632082,0.0398208
3,169.73,1.75257,1.7253,1.22858,0.26513,0.26508,0.17994,0.07386,1.99976,2.2668,1.3282,0.00899498,0.00899498,0.00916165
4,222.906,1.91598,1.87578,1.31863,0.2311,0.30681,0.18772,0.08782,2.06272,2.45046,1.38005,0.008515,0.008515,0.008515
5,279.031,1.88092,1.76223,1.3013,0.46053,0.37265,0.35482,0.17732,1.91778,2.06668,1.2686,0.00802,0.00802,0.00802
6,339.835,1.79963,1.58763,1.24866,0.50542,0.54325,0.47238,0.24724,1.66891,1.64675,1.17259,0.007525,0.007525,0.007525
7,400.739,1.76109,1.53252,1.22999,0.60324,0.47744,0.48331,0.27971,1.81905,1.77806,1.25741,0.00703,0.00703,0.00703
8,461.963,1.71707,1.49752,1.2159,0.55522,0.38694,0.3902,0.24158,1.77614,2.23181,1.25275,0.006535,0.006535,0.006535
9,521.337,1.64883,1.38595,1.18024,0.64018,0.61835,0.63456,0.39697,1.54469,1.34669,1.09605,0.00604,0.00604,0.00604
10,583.3,1.63933,1.34093,1.17501,0.59675,0.52154,0.51435,0.29784,1.61491,1.49409,1.13877,0.005545,0.005545,0.005545
11,645.229,1.65413,1.39775,1.19759,0.63514,0.56389,0.55173,0.34855,1.61021,1.45982,1.12215,0.00505,0.00505,0.00505
12,705.691,1.61839,1.34131,1.17979,0.68553,0.67375,0.69988,0.44936,1.51593,1.23209,1.075,0.004555,0.004555,0.004555
13,766.407,1.60911,1.28315,1.15422,0.48503,0.21651,0.23787,0.12958,1.73455,2.6194,1.27437,0.00406,0.00406,0.00406
14,827.04,1.57161,1.24517,1.14424,0.67869,0.71384,0.65844,0.42157,1.4605,1.16434,1.05306,0.003565,0.003565,0.003565
15,888.909,1.53211,1.1993,1.12912,0.69097,0.72042,0.72194,0.47451,1.39138,1.12551,1.03704,0.00307,0.00307,0.00307
16,950.984,1.49901,1.14768,1.10895,0.71722,0.7321,0.73504,0.47648,1.37254,1.09268,1.01926,0.002575,0.002575,0.002575
17,1013.01,1.44574,1.09328,1.0828,0.77231,0.70628,0.71874,0.48257,1.35406,1.05017,1.0096,0.00208,0.00208,0.00208
18,1074.69,1.4247,1.05625,1.06774,0.76009,0.71899,0.73826,0.48634,1.37476,1.02215,1.0149,0.001585,0.001585,0.001585
19,1137.03,1.40591,1.03259,1.0668,0.72746,0.70953,0.73966,0.50258,1.34203,1.00313,1.01823,0.00109,0.00109,0.00109
20,1197.55,1.37507,0.98044,1.05059,0.72364,0.76303,0.76254,0.50358,1.32015,0.97368,0.99887,0.000595,0.000595,0.000595
