epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3083,1.70286,3.06978,1.25481,1,0.06202,0.27692,0.16609,1.67649,3.28343,1.15735,0.00328889,0.00328889,0.0704
2,49.6974,1.67574,1.9474,1.20816,0.51429,0.3494,0.34839,0.17711,1.73647,2.18572,1.23453,0.00629442,0.00629442,0.0400722
3,71.183,1.73383,1.79641,1.20084,0.29041,0.30203,0.20427,0.09717,1.94917,2.60598,1.35186,0.00896996,0.00896996,0.0094144
4,93.1847,1.78346,1.77214,1.22259,0.24953,0.27173,0.18382,0.1004,2.03839,2.66338,1.47058,0.008515,0.008515,0.008515
5,113.271,1.78315,1.66073,1.20637,0.50679,0.39313,0.39865,0.20472,1.89368,2.47849,1.32413,0.00802,0.00802,0.00802
6,134.812,1.73871,1.57711,1.1969,0.65409,0.44638,0.46133,0.27993,1.78458,1.86247,1.27879,0.007525,0.007525,0.007525
7,155.461,1.70766,1.50236,1.19449,0.58485,0.48729,0.51571,0.30131,1.8003,1.81036,1.24462,0.00703,0.00703,0.00703
8,175.909,1.6735,1.44352,1.16797,0.63858,0.50731,0.54705,0.3192,1.75237,1.67024,1.21179,0.006535,0.006535,0.006535
9,198.14,1.63667,1.41043,1.1473,0.67907,0.52735,0.58027,0.35764,1.67838,1.63023,1.1869,0.00604,0.00604,0.00604
10,219.277,1.61478,1.33297,1.13618,0.76666,0.65999,0.70664,0.44536,1.56383,1.44929,1.11625,0.005545,0.005545,0.005545
11,237.549,1.60827,1.37683,1.13619,0.55224,0.45281,0.46056,0.27046,1.84134,1.96116,1.26652,0.00505,0.00505,0.00505
12,253.514,1.58726,1.33382,1.12356,0.70957,0.64529,0.66703,0.41245,1.62765,1.38958,1.14813,0.004555,0.004555,0.004555
13,267.809,1.59399,1.28539,1.14159,0.72684,0.5828,0.65173,0.39601,1.61819,1.39984,1.14705,0.00406,0.00406,0.00406
14,282.843,1.5548,1.23821,1.11501,0.76796,0.68226,0.73452,0.47345,1.5168,1.26734,1.10515,0.003565,0.003565,0.003565
15,297.872,1.50173,1.17966,1.09497,0.81999,0.68792,0.75349,0.47379,1.47492,1.19684,1.08484,0.00307,0.00307,0.00307
16,312.071,1.49647,1.16526,1.08058,0.8029,0.65886,0.71737,0.45227,1.47852,1.23213,1.09601,0.002575,0.002575,0.002575
17,327.119,1.47058,1.10503,1.07754,0.75275,0.68957,0.73499,0.48662,1.51623,1.22492,1.08609,0.00208,0.00208,0.00208
18,341.285,1.4428,1.08319,1.05717,0.80391,0.71267,0.77094,0.51947,1.44143,1.13924,1.05805,0.001585,0.001585,0.001585
19,356.266,1.40431,1.04198,1.04677,0.80151,0.73638,0.78186,0.52437,1.42839,1.0869,1.05666,0.00109,0.00109,0.00109
20,370.364,1.38156,1.00191,1.03696,0.81172,0.74112,0.78759,0.53354,1.38745,1.0604,1.04153,0.000595,0.000595,0.000595
