epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9401,1.69454,2.74367,1.24456,0.2743,0.14145,0.14688,0.07396,1.83369,2.79843,1.37663,0.00331429,0.00331429,0.0701714
2,108.76,1.63697,1.63759,1.1687,0.4728,0.42201,0.37701,0.19261,1.7953,1.91738,1.22528,0.006516,0.006516,0.0400398
3,159.487,1.73,1.68645,1.21515,0.56199,0.32863,0.33721,0.16771,2.0366,2.20623,1.42625,0.00958571,0.00958571,0.00977618
4,213.724,1.90363,1.8361,1.28938,0.3041,0.32835,0.22395,0.09822,2.06215,2.5436,1.39674,0.009406,0.009406,0.009406
5,266.007,1.90074,1.72755,1.29199,0.43397,0.3151,0.2676,0.14111,2.09918,2.2787,1.44926,0.009208,0.009208,0.009208
6,318.575,1.8414,1.64769,1.26572,0.61425,0.61391,0.56754,0.31725,1.70167,1.78774,1.2065,0.00901,0.00901,0.00901
7,370.841,1.79257,1.59734,1.25235,0.6115,0.47109,0.47392,0.28429,1.7892,1.84465,1.23626,0.008812,0.008812,0.008812
8,423.04,1.75311,1.47756,1.21831,0.54555,0.38162,0.36569,0.20759,1.82756,2.22115,1.28753,0.008614,0.008614,0.008614
9,478.635,1.70558,1.4539,1.20759,0.6018,0.58386,0.60905,0.36287,1.65742,1.43202,1.19282,0.008416,0.008416,0.008416
10,531.865,1.68475,1.39662,1.19341,0.61333,0.52402,0.54664,0.29791,1.64202,1.4996,1.17497,0.008218,0.008218,0.008218
11,584.78,1.64597,1.36066,1.17905,0.70054,0.63965,0.64502,0.39961,1.5875,1.34295,1.16111,0.00802,0.00802,0.00802
12,638.024,1.63626,1.3356,1.17405,0.70464,0.65337,0.66917,0.38873,1.59101,1.30683,1.14403,0.007822,0.007822,0.007822
13,692.27,1.61668,1.29674,1.15719,0.72621,0.59737,0.61098,0.3735,1.5846,1.38222,1.14702,0.007624,0.007624,0.007624
14,745.347,1.58681,1.28503,1.15577,0.72506,0.61733,0.66186,0.4225,1.5305,1.31277,1.10945,0.007426,0.007426,0.007426
15,801.678,1.55953,1.24505,1.14204,0.6956,0.63136,0.63652,0.39806,1.56169,1.29448,1.13646,0.007228,0.007228,0.007228
16,854.749,1.56776,1.23946,1.14126,0.71345,0.71035,0.71737,0.45205,1.52266,1.19619,1.111,0.00703,0.00703,0.00703
17,908.5,1.55508,1.20653,1.12296,0.74637,0.69623,0.69932,0.44323,1.5304,1.20651,1.10785,0.006832,0.006832,0.006832
18,962.001,1.52647,1.18912,1.12023,0.67911,0.69564,0.66432,0.42589,1.4993,1.2171,1.0888,0.006634,0.006634,0.006634
19,1015.4,1.50701,1.1543,1.10603,0.75755,0.68197,0.72472,0.4706,1.46065,1.11982,1.08837,0.006436,0.006436,0.006436
20,1070.18,1.4882,1.13314,1.10408,0.73994,0.69566,0.69596,0.45349,1.46104,1.14007,1.07755,0.006238,0.006238,0.006238
21,1127,1.49845,1.14261,1.09964,0.76552,0.69878,0.72297,0.45863,1.4786,1.15036,1.09615,0.00604,0.00604,0.00604
22,1181.06,1.44728,1.11674,1.08532,0.72846,0.7366,0.72456,0.47632,1.44729,1.10054,1.06723,0.005842,0.005842,0.005842
23,1234.24,1.45496,1.07882,1.08783,0.71852,0.68604,0.69917,0.45782,1.46633,1.1484,1.09208,0.005644,0.005644,0.005644
24,1287.51,1.43777,1.06977,1.08,0.76077,0.71162,0.71588,0.46564,1.42822,1.11395,1.0588,0.005446,0.005446,0.005446
25,1340.94,1.43018,1.05002,1.07658,0.76432,0.73745,0.75005,0.4843,1.41359,1.08493,1.06517,0.005248,0.005248,0.005248
26,1397.54,1.43571,1.04077,1.06616,0.73523,0.7124,0.72849,0.50358,1.39143,1.08633,1.05294,0.00505,0.00505,0.00505
27,1451.23,1.39236,1.03568,1.06656,0.7485,0.72111,0.72246,0.48035,1.39162,1.06792,1.06011,0.004852,0.004852,0.004852
28,1504.29,1.40305,1.03111,1.06511,0.76802,0.71775,0.75153,0.5063,1.38431,1.05647,1.04428,0.004654,0.004654,0.004654
29,1557.52,1.38746,0.99322,1.05546,0.77453,0.7195,0.7291,0.48502,1.38708,1.04603,1.04689,0.004456,0.004456,0.004456
30,1610.87,1.35804,0.98482,1.05182,0.72537,0.76051,0.74221,0.50398,1.36843,1.0567,1.04066,0.004258,0.004258,0.004258
31,1664.12,1.36841,0.9998,1.04647,0.73304,0.74366,0.74428,0.50235,1.37291,1.00262,1.04562,0.00406,0.00406,0.00406
32,1720.68,1.34861,0.96446,1.04093,0.75249,0.7536,0.74865,0.51092,1.38108,1.03423,1.03851,0.003862,0.003862,0.003862
33,1774.08,1.35344,0.95848,1.03822,0.7762,0.73204,0.75392,0.50039,1.35917,1.0193,1.03825,0.003664,0.003664,0.003664
34,1826.53,1.32835,0.95393,1.03822,0.76015,0.74816,0.77302,0.52325,1.34758,0.98631,1.03352,0.003466,0.003466,0.003466
35,1882.76,1.32019,0.93034,1.02789,0.73436,0.75802,0.75579,0.51151,1.35087,0.97495,1.02118,0.003268,0.003268,0.003268
36,1936.53,1.31005,0.91346,1.02416,0.74471,0.75846,0.75752,0.5234,1.3335,0.9766,1.03585,0.00307,0.00307,0.00307
37,1989.76,1.30412,0.90271,1.01635,0.76137,0.77764,0.76742,0.53057,1.31099,0.95896,1.0175,0.002872,0.002872,0.002872
38,2043.04,1.28604,0.88998,1.02308,0.73178,0.78449,0.76822,0.53455,1.32169,0.97201,1.01652,0.002674,0.002674,0.002674
39,2094.64,1.28017,0.88969,1.00831,0.77704,0.75516,0.77546,0.53909,1.32823,0.9584,1.01996,0.002476,0.002476,0.002476
40,2149.17,1.26156,0.86576,0.99762,0.7831,0.75796,0.77606,0.54131,1.31349,0.94045,1.01188,0.002278,0.002278,0.002278
41,2202.07,1.30956,0.88287,1.01494,0.77326,0.72605,0.76759,0.53198,1.32808,0.98094,1.02156,0.00208,0.00208,0.00208
42,2254.57,1.26705,0.84761,1.0051,0.77571,0.76224,0.77673,0.52592,1.36062,0.95895,1.03954,0.001882,0.001882,0.001882
43,2306.66,1.25469,0.82858,0.98961,0.8048,0.75452,0.78236,0.54038,1.31602,0.92753,1.01133,0.001684,0.001684,0.001684
44,2358.76,1.24175,0.79931,0.99327,0.76095,0.76823,0.77805,0.53999,1.32214,0.93593,1.01764,0.001486,0.001486,0.001486
45,2413.79,1.2248,0.79909,0.98485,0.77971,0.77941,0.77474,0.54263,1.31038,0.92935,1.01234,0.001288,0.001288,0.001288
46,2465.93,1.22018,0.78694,0.98744,0.74408,0.78222,0.7895,0.53193,1.3124,0.93086,1.02002,0.00109,0.00109,0.00109
47,2517.67,1.22556,0.78041,0.99134,0.78002,0.7735,0.79093,0.55213,1.30847,0.92718,1.01576,0.000892,0.000892,0.000892
48,2568.9,1.19556,0.75834,0.97389,0.79379,0.76371,0.79928,0.55338,1.3047,0.91361,1.01106,0.000694,0.000694,0.000694
49,2620.56,1.18385,0.74168,0.97248,0.76002,0.78245,0.78983,0.55063,1.29746,0.92328,1.00586,0.000496,0.000496,0.000496
50,2675.16,1.17597,0.73385,0.96878,0.7854,0.76259,0.79511,0.5537,1.29808,0.9141,1.00706,0.000298,0.000298,0.000298
