epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9958,1.71481,2.63478,1.25796,0.57551,0.36211,0.36264,0.19625,1.68025,1.85472,1.23717,0.00328889,0.00328889,0.0704
2,56.488,1.5492,1.51652,1.14249,0.58036,0.46686,0.50551,0.28696,1.59047,1.63108,1.12181,0.00629442,0.00629442,0.0400722
3,81.2538,1.56904,1.39211,1.13081,0.54129,0.33904,0.34982,0.2089,1.87093,2.21558,1.24796,0.00896996,0.00896996,0.0094144
4,106.677,1.61459,1.42237,1.15536,0.49838,0.46717,0.42456,0.22415,1.8211,1.86064,1.24703,0.008515,0.008515,0.008515
5,131.55,1.64591,1.33903,1.15249,0.57231,0.50361,0.53236,0.31227,1.70041,1.59778,1.20942,0.00802,0.00802,0.00802
6,156.412,1.61929,1.28096,1.15247,0.58652,0.55573,0.58185,0.35913,1.6556,1.47083,1.18049,0.007525,0.007525,0.007525
7,179.716,1.59122,1.24015,1.14703,0.68646,0.46173,0.47483,0.2545,1.74386,1.66204,1.22043,0.00703,0.00703,0.00703
8,203.67,1.55009,1.18352,1.12029,0.71436,0.5753,0.62129,0.38377,1.60292,1.32951,1.15017,0.006535,0.006535,0.006535
9,227.485,1.52275,1.15627,1.11277,0.75853,0.68654,0.71618,0.45792,1.5388,1.23279,1.11442,0.00604,0.00604,0.00604
10,251.647,1.49507,1.09171,1.09232,0.7851,0.66693,0.73715,0.47577,1.50266,1.12673,1.10504,0.005545,0.005545,0.005545
11,280.17,1.51049,1.10621,1.10051,0.75943,0.65017,0.7076,0.42654,1.56149,1.21121,1.1373,0.00505,0.00505,0.00505
12,306.169,1.4914,1.08223,1.08994,0.74498,0.68927,0.73964,0.46303,1.51295,1.16954,1.10875,0.004555,0.004555,0.004555
13,329.929,1.4737,1.04103,1.0897,0.76109,0.73007,0.76469,0.49359,1.45692,1.11472,1.07368,0.00406,0.00406,0.00406
14,353.583,1.4572,1.01464,1.07183,0.76933,0.66563,0.72637,0.47719,1.4861,1.12012,1.09004,0.003565,0.003565,0.003565
15,377.1,1.4115,0.96798,1.06068,0.75077,0.64057,0.69982,0.45075,1.50167,1.22135,1.09843,0.00307,0.00307,0.00307
16,400.729,1.4014,0.94677,1.049,0.82412,0.70501,0.77589,0.52492,1.43212,1.0533,1.07825,0.002575,0.002575,0.002575
17,426.814,1.3708,0.89957,1.0431,0.81707,0.74132,0.79059,0.53317,1.39865,0.99762,1.05085,0.00208,0.00208,0.00208
18,450.89,1.36069,0.87869,1.03164,0.82276,0.71548,0.77008,0.50485,1.41702,1.0283,1.06047,0.001585,0.001585,0.001585
19,475.176,1.30495,0.84302,1.01234,0.83852,0.74182,0.8062,0.56505,1.35181,0.9477,1.03099,0.00109,0.00109,0.00109
20,499.111,1.28427,0.81541,1.00205,0.85354,0.75048,0.81816,0.57549,1.34439,0.91256,1.03075,0.000595,0.000595,0.000595
