epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.912,1.69596,2.92804,1.23894,0.57903,0.4902,0.49674,0.28902,1.63792,2.07174,1.14169,0.00331852,0.00331852,0.0701333
2,142.171,1.65224,1.68908,1.19034,0.52664,0.42412,0.38093,0.24336,1.75812,2.26476,1.2477,0.00632259,0.00632259,0.0398041
3,209.366,1.77908,1.7844,1.2426,0.16803,0.07779,0.05926,0.0263,2.58499,3.68823,1.74421,0.00899665,0.00899665,0.0091448
4,279.891,1.9377,1.88526,1.32271,0.46955,0.32429,0.29455,0.15728,2.08539,2.19849,1.3629,0.008515,0.008515,0.008515
5,351.575,1.88959,1.80782,1.2982,0.40352,0.46385,0.31363,0.16289,1.91018,2.03068,1.30139,0.00802,0.00802,0.00802
6,418.169,1.83321,1.68825,1.28502,0.48069,0.50627,0.44172,0.2366,1.85223,1.9229,1.27314,0.007525,0.007525,0.007525
7,487.983,1.77479,1.58939,1.24197,0.55282,0.53345,0.48548,0.25777,1.72486,1.56427,1.19927,0.00703,0.00703,0.00703
8,557.272,1.73379,1.51844,1.22397,0.58768,0.57964,0.53069,0.30263,1.72332,1.54185,1.2307,0.006535,0.006535,0.006535
9,629.842,1.68929,1.45956,1.19203,0.60205,0.63642,0.59622,0.35834,1.61297,1.4434,1.13402,0.00604,0.00604,0.00604
10,699.15,1.63904,1.37003,1.17502,0.64811,0.57701,0.60115,0.35763,1.54438,1.33536,1.12713,0.005545,0.005545,0.005545
11,768.842,1.67579,1.43821,1.19027,0.67681,0.61934,0.60153,0.35903,1.64523,1.37945,1.14618,0.00505,0.00505,0.00505
12,834.504,1.65005,1.37367,1.18569,0.63358,0.62848,0.59939,0.34374,1.57694,1.31474,1.12512,0.004555,0.004555,0.004555
13,903.083,1.61979,1.31619,1.16963,0.66396,0.61978,0.63249,0.3968,1.60313,1.4252,1.13942,0.00406,0.00406,0.00406
14,971.317,1.57276,1.2755,1.13961,0.69873,0.65778,0.66521,0.41146,1.53337,1.23432,1.11099,0.003565,0.003565,0.003565
15,1037.29,1.52974,1.20473,1.11842,0.7221,0.67839,0.68616,0.42033,1.53169,1.18248,1.09138,0.00307,0.00307,0.00307
16,1106.28,1.50681,1.17966,1.10639,0.6948,0.59268,0.62923,0.40499,1.51885,1.32535,1.08852,0.002575,0.002575,0.002575
17,1171.17,1.46903,1.11149,1.08977,0.74993,0.67515,0.70775,0.45918,1.45447,1.12972,1.06805,0.00208,0.00208,0.00208
18,1241.13,1.44461,1.09735,1.0807,0.71662,0.72296,0.73073,0.47336,1.41072,1.096,1.04557,0.001585,0.001585,0.001585
19,1310.36,1.40921,1.04809,1.07062,0.71457,0.73245,0.74021,0.50637,1.36696,1.05165,1.03022,0.00109,0.00109,0.00109
20,1374.99,1.3624,0.98721,1.04684,0.73849,0.72998,0.74647,0.50105,1.3735,1.03938,1.02631,0.000595,0.000595,0.000595
