epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5964,1.7034,2.73126,1.25283,0.70265,0.12531,0.18343,0.09857,1.82761,2.99281,1.32625,0.00331111,0.00331111,0.0702
2,97.6221,1.58598,1.56422,1.16841,0.54883,0.48643,0.44886,0.25573,1.7391,1.74865,1.20213,0.00631554,0.00631554,0.0398711
3,142.116,1.68559,1.5991,1.19378,0.32032,0.16815,0.13742,0.07222,2.19767,2.94213,1.48824,0.00898998,0.00898998,0.0092122
4,187.231,1.82766,1.71346,1.25973,0.41467,0.30993,0.27418,0.13742,1.88602,2.22628,1.29952,0.008515,0.008515,0.008515
5,235.707,1.83551,1.61332,1.25401,0.56845,0.52372,0.50758,0.29462,1.79262,1.68107,1.25267,0.00802,0.00802,0.00802
6,281.741,1.76574,1.53254,1.23693,0.61222,0.49807,0.5028,0.26006,1.77232,1.58941,1.2258,0.007525,0.007525,0.007525
7,329.941,1.68434,1.39633,1.1912,0.65711,0.58102,0.59833,0.34676,1.67116,1.42224,1.17425,0.00703,0.00703,0.00703
8,374.581,1.64304,1.35765,1.1774,0.68831,0.64042,0.66248,0.39154,1.61057,1.442,1.14333,0.006535,0.006535,0.006535
9,422.368,1.61374,1.3101,1.16146,0.62787,0.61116,0.63097,0.36706,1.57461,1.35114,1.1291,0.00604,0.00604,0.00604
10,466.858,1.56847,1.26191,1.13829,0.72877,0.6244,0.66615,0.40564,1.55909,1.3286,1.13245,0.005545,0.005545,0.005545
11,512.584,1.62453,1.32098,1.165,0.69059,0.69028,0.69861,0.39161,1.58723,1.25205,1.13214,0.00505,0.00505,0.00505
12,561.609,1.60392,1.26797,1.14796,0.75787,0.65436,0.68958,0.44035,1.56382,1.27301,1.11866,0.004555,0.004555,0.004555
13,606.53,1.55612,1.20253,1.12375,0.72346,0.64952,0.67032,0.40563,1.52771,1.24207,1.1062,0.00406,0.00406,0.00406
14,654.195,1.53379,1.1638,1.1189,0.72789,0.65187,0.7009,0.42203,1.51894,1.17128,1.09278,0.003565,0.003565,0.003565
15,699.209,1.49554,1.11518,1.09603,0.76354,0.68108,0.71691,0.4332,1.51381,1.20187,1.10782,0.00307,0.00307,0.00307
16,747.311,1.47791,1.07974,1.08589,0.79027,0.70017,0.74509,0.48759,1.43073,1.08099,1.06495,0.002575,0.002575,0.002575
17,792.404,1.42698,1.02198,1.07272,0.77805,0.72946,0.76095,0.50813,1.40502,1.05407,1.04563,0.00208,0.00208,0.00208
18,838.385,1.3971,0.98864,1.0509,0.77775,0.73302,0.75725,0.50501,1.38806,1.03163,1.03116,0.001585,0.001585,0.001585
19,887.945,1.36596,0.94308,1.04182,0.80382,0.73856,0.77965,0.51804,1.36769,1.01421,1.02636,0.00109,0.00109,0.00109
20,933.65,1.32773,0.90424,1.02625,0.78521,0.75112,0.7891,0.52763,1.34178,0.96757,1.01929,0.000595,0.000595,0.000595
